Year,Title,Artist,Lyrics,Language,Genre
1994.0,I SWEAR,ALL FOR ONE,"i swear
by the moon and the stars in the skies
and i swear
like the shadow that's by your side
i see the questions in your eyes
i know what's weighing on your mind
you can be sure i know my part
cause i""ll stand beside you through the years
you'll only cry those happy tears
and though i make mistakes
i'll never break your heart

chorus:
and i swear
by the moon and the stars in the skies
i'll be there
i swear like the shadow that's by your side
i'll be there
for better or worse, 'till death do us part
i'll love you with every beat of my heart
and i swear
i'll give you every thing i can
i'll build your dreams with these two hands
we'll hang some memories on the walls
and when (and when) just the two of us are there
you won't have to ask if i still care
cause as the time turns the page, my love won't age at all
chorus x2",Anglais,R&B
1994.0,HAPPY NATION,ACE OF BASE,"laudate omnes gentes laudate
magnificat in secula
et anima mea laudate
magnificat in secula


happy nation living in a happy nation
where the people understand
and dream of perfect man
situation leading to sweet salvation
for the people, for the good
for mankind, brotherhood


(we're traveling in time)


ideas by man
and only that will last
and over time
we've learned from the past
that no man's fit
to rule the world alone
a man will die
but not his ideas

happy nation
living in a happy nation
where the people understand
and dream of perfect man
situation leading to sweet salvation
for the people, for the good
for mankind, brotherhood


(we're traveling in time)
(traveling in time)


tell them we've gone too far
(happy nation)
tell them we've gone too far
(happy nation)
come through and i will dance with you
(happy nation)
tell them we've gone too far
(happy nation)
come through and i will dance with you
(happy nation)
tell them we've gone too far
come through and i will dance with you

happy nation living in a happy nation
where the people understand
and dream of perfect man
situation leading to sweet salvation
for the people, for the good
for mankind, brotherhood


happy nation
happy nation
happy nation
happy nation2",Anglais,Pop
1994.0,THE SIGN,ACE OF BASE,"whoa, oh, yeah


(ah) i got a new life
you would hardly recognize me, i'm so glad
how could a person like me care for you?
(ah) why do i bother
when you're not the one for me?


(ooh-ooh-ooh)
is enough, enough?


i saw the sign
and it opened up my eyes, i saw the sign
life is demanding without understanding
i saw the sign
and it opened up my eyes, i saw the sign
no one's gonna drag you up
to get into the light where you belong
but where do you belong?


(ah) under the pale moon
for so many years, i've wondered who you are
how could a person like you bring me joy?
under the pale moon
where i see a lot of stars

(ooh-ooh-ooh)
is enough, enough?


i saw the sign
and it opened up my eyes, i saw the sign
life is demanding without understanding
i saw the sign
and it opened up my eyes, i saw the sign
no one's gonna drag you up
to get into the light where you belong
but where do you belong?


oh, oh-oh
(oh no)
(oh no)
(oh no)


i saw the sign
and it opened up my mind, and i am happy now
living without you, i've left you, oh-oh-oh
i saw the sign
and it opened up my eyes, i saw the sign
no one's gonna drag you up
to get into the light where you belong

(i saw the sign, i saw the si-i-ign) i saw the sign
(i saw the sign, i saw the si-i-i-ign)
(i saw the sign, i saw the sign) i saw the sign
and it opened up my eyes, i saw the sign14",Anglais,Pop
1994.0,CAN YOU FEEL THE LOVE TONIGHT,"JOHN, ELTON","there's a calm surrender
to the rush of day
when the heat of a rolling wind
can be turned away
an enchanted moment
and it sees me through
it's enough for this restless warrior
just to be with you


and can you feel the love tonight?
it is where we are
it's enough for this wide-eyed wanderer
that we got this far
and can you feel the love tonight?
how it's laid to rest
it's enough to make kings and vagabonds
believe the very best


there's a time for everyone
if they only learn
that the twistin' kaleidoscope
moves us all in turn
there's a rhyme and reason
to the wild outdoors
when the heart of this star-crossed voyager
beats in time with yours

and can you feel the love tonight?
it is where we are
it's enough for this wide-eyed wanderer
that we got this far
and can you feel the love tonight?
how it's laid to rest
it's enough to make kings and vagabonds
believe the very best


it's enough to make kings and vagabonds
believe the very best5",Anglais,Pop
1994.0,HERO,"CAREY, MARIAH","there's a hero
if you look inside your heart
you don't have to be afraid
of what you are
there’s an answer
if you reach into your soul
and the sorrow that you know
will melt away


and then a hero comes along
with the strength to carry on
and you cast your fears aside
and you know you can survive
so when you feel like hope is gone
look inside you and be strong
and you'll finally see the truth
that a hero lies in you


it's a long road
when you face the world alone
no one reaches out a hand for you to hold
you can find love
if you search within yourself
and the emptiness you felt
will disappear
see mariah carey liveget tickets as low as $52
and then a hero comes along
with the strength to carry on
and you cast your fears aside
and you know you can survive
so when you feel like hope is gone
look inside you and be strong
and you'll finally see the truth
that a hero lies in you


lord knows
dreams are hard to follow
but don't let anyone
tear them away
hold on
there will be tomorrow
in time
you'll find the way


and then a hero comes along
with the strength to carry on
and you cast your fears aside
and you know you can survive
so when you feel like hope is gone
look inside you and be strong
and you'll finally see the truth
that a hero lies in you

that a hero lies in you
that a hero lies in you23",Anglais,Pop
1994.0,CANNONBALL,"BREEDERS, THE","check, check, check
one, two


spitting in a wishing well
blown to hell, crash
i'm the last splash
i know you, little libertine
i know you're a real cuckoo


want you, cuckoo cannonball
want you, cuckoo cannonball
in the shade, in the shade
in the shade, in the shade


i know you, little libertine
i know you're a cannonball
i'll be your whatever-you-want
the bong in this reggae song


in the shade
in the shade
want you, cuckoo cannonball
want you, cuckoo cannonball

spitting in a wishing well
blown to hell, crash
i'm the last splash
i'll be your whatever-you-want
the bong in this reggae song


want you, cuckoo cannonball
want you, cuckoo cannonball
in the shade, in the shade
in the shade, in the shade12",Anglais,Rock
1994.0,SUR ET CERTAIN,TONTON DAVID,"car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain


il est temps que la musique joue et que la basse résonne
nous sommes dans la zone rouge, le système nous assomme
maquillage des bavures policières
falsification de l'histoire


mais je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain

originaire d'une île classée dom-tom
assistance sans calcul, mon œil de la métropole
par ici le club med, par là les maisons de tôle
calmer le peuple à coups de rmi
que personne ne s'affole, oh, oh
que personne ne s'affole, eh, eh
que personne ne s'affole, oh, oh
que personne ne s'affole, eh, eh


car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain

mais je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain, oh, oh

là-haut, il est temps de prendre un nouveau départ
là-haut, mais je suis sûr qu'il y a arnaque quelque part


car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain


j'ai grandi à paris pourtant mes racines m'importent
africain en exil peut-être que cela t'étonne
pour tous les cafs, kanak et guadeloupéens
toutes les iles des caraïbes, pacifique, de l'océan indien
il est important que l'afrique soit forte
tous pour le même but, voilà notre force
à chacun son job, à chacun son rôle
parce que je parle de trop, au cul ils m'ont mis interpol, oh, oh
ils m'ont mis interpol, eh, eh
ils m'ont mis interpol, oh, oh
ils m'ont mis interpol, eh, eh
là-haut

car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond

car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain
quelque chose ne tourne pas rond
car je suis sûr, sûr
qu’on nous prend pour des cons
mais j’en suis certain


car j'en suis sûr",Français,Variété Française
1994.0,"EINS, ZWEI, POLIZEI",MO-DO,"eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht
eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht
eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht
eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht


oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh


ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los?
ja, ja, ja, was ist das?
ja, ja, ja, was ist los?
ja, ja, ja, was ist los? was ist das?

oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh


eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht
eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht
eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht
eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht

ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los? was ist das?
ja, ja, ja, was ist los?
ja, ja, ja, was ist das?
ja, ja, ja, was ist los?
ja, ja, ja, was ist los? was ist das?


oh-oh, oh-oh
oh-oh, oh-oh
oh-oh, oh-oh


eins, zwei, polizei
drei, vier, grenadier
fünf, sechs, alte hex
sieben, acht – gute nacht1",Autre,Electronique
1994.0,"BABY, I LOVE YOUR WAY",BIG MOUNTAIN,"ooh, baby, i love your way, every day, yeah-eeh-yeah
ooh, baby, i love your way, every day


shadows grew so long before my eyes
and they're moving across the page
suddenly the day turns into night (ooh)
far away from the city


but don't, oh no, hesitate
'cause your love just won't wait, hey-eeh-yeah-yeah


ooh, baby, i love your way, every day, yeah-eeh-yeah
i wanna tell you i love your way, every day, yeah-yeah
i wanna be with you night and day


the moon appears to shine and light the sky
with the help of some fireflies
i wonder how they have the power to shine, shine, shine
well, i can see them under the pine


but don't, woah no no, hesitate, la-di-dah
'cause your love just won't wait
hey-eeh-yeah-yeah!

ooh, baby, i love your way, every day, yeah-eeh-yeah
i wanna tell you i love your way, every day, ey-yeah!
i wanna be with you night and day
woah, baby, oh baby, please!


every day, yeah-eeh-yeah!
how i love, how i love ya-hah
(i love your way)
oh, baby, please!


i can see the sunset in your eyes
brown and grey and blue besides
clouds are stalking islands in the sun
i wish i could buy one out of season
but don't, oh no no, hesitate, la-di-dah!
'cause your love just won't wait
just won't wait


ooh, baby, i love your way
every, every day-eeh-yay!
i wanna tell you i love your way
i wanna tell you how i love your little ways
i wanna be with you night and day
every day in every way, yeah!
biliabidididastopdayeday


(ooh, baby, i love your way)
ooh baby, how i love your little ways
(i wanna tell you i love your way)
i wanna tell you how i, i wanna tell you how i love your little ways
(i wanna be with you night and day)
bididiabididisapidadee-yeah

(ooh baby, i love your way)
ooh, baby, baby, baby2",Anglais,Pop
1994.0,MOVING ON UP,M.PEOPLE,"you've done me wrong
your time is up
you took a sip (just a sip)
from the devil's cup
you broke my heart
there's no way back
move right outta here baby
go on pack your bags

just who do you think you are
stop acting like some kinda star
just who do you think you are
take it like a man baby if that's what you are

cause i'm moving on up
you're moving on out
moving on up
nothing can stop me
i'm moving on up
you're moving on out
time to break free
nothing can stop me

they brag a man has walked in space
but you can't even find my place
mm there ain't nothing (not a thing)
you can do
cause i've had enough of me baby
being part of you
just who do you think you are
this time you've gone too far
just who do you think you are
take it like a man baby if that's what you are

cause i'm moving on up
you're moving on out
moving on up
nothing can stop me
i'm moving on up
you're moving on out
time to break free
nothing can stop me
(moving on up,moving on up,moving on up)
(moving on up, moving on up,moving on up)
(moving on up, moving on up,moving on up)
(moving on up, moving on up,moving on up)
moving on up
you're moving on out
moving on up
nothing can stop me
i'm moving on up
you're moving on out
time to break free
nothing can stop me
(moving)
(moving)
(moving)
nothing can stop me
(moving)
(moving)
time to break free
nothing can stop me",Anglais,Pop
